2.220073;113.223038;2;3173466.35;92.58;31.72;56;61
11.427039;32.226274;4;7995872.30;54.09;20.81;5;17
-52.611854;102.888943;3;3675333.44;52.45;18.86;16;26
-27.742921;102.717043;3;4746057.21;119.45;26.81;2;5
-78.088595;85.820504;4;3333279.39;120.07;53.03;21;21
61.061111;35.041846;5;3309648.15;116.79;36.10;49;88
-29.356455;162.628809;3;5012476.65;41.69;13.24;2;3
52.639924;67.985246;4;9743250.43;42.13;11.62;15;76
63.362664;1.206367;5;4160274.35;115.42;30.80;11;91
-71.251377;65.637910;4;4072503.92;59.34;16.76;12;22
1.247305;90.662877;5;9315775.24;77.14;29.90;16;76
39.822442;31.868095;4;6509279.82;74.96;17.18;36;99
-1.599649;163.918438;1;9253542.64;28.64;5.96;36;84
34.455134;87.649655;2;6093701.60;93.80;24.40;7;98
9.818409;157.538987;5;8993550.80;40.74;13.81;71;99
35.730929;118.637069;2;6500776.84;90.22;42.09;8;74
-17.288137;163.829528;3;2870375.02;26.40;8.32;7;21
-32.893667;165.709879;1;5201267.52;94.30;34.11;10;100
10.394394;110.311303;1;3011785.76;81.25;34.80;18;37
62.902604;147.560725;5;2940420.47;105.40;32.74;65;81
-31.114651;172.208708;3;6106049.50;74.73;32.58;36;89
18.647065;79.753769;5;2049503.91;52.05;12.77;34;49
-69.399059;21.451723;5;1771108.76;92.20;31.94;15;59
45.028565;0.867641;5;4414228.61;106.53;27.21;28;33
20.424752;92.957277;1;1834000.02;25.52;10.75;59;67
-61.534113;122.897528;2;8640132.09;32.63;13.41;25;57
-30.304343;172.410938;5;4168582.91;43.32;17.20;12;18
-15.844886;9.569592;1;5663771.51;93.51;38.66;4;9
-34.916761;140.156157;5;2956150.09;43.99;19.59;1;2
-77.390807;104.862417;3;1047567.66;101.07;27.78;6;10
43.633742;154.887231;4;7672923.18;32.88;15.18;12;62
9.853538;71.959489;5;8239004.84;110.41;51.39;2;90
-45.678848;87.525298;1;8003831.81;78.73;19.23;22;26
12.479787;107.327958;1;6497614.91;80.43;16.88;56;92
-33.424093;32.235328;3;2323647.74;111.19;51.73;45;48
8.624576;93.501437;4;1880731.13;85.08;41.78;1;1
-65.404046;179.668020;5;3410723.66;71.12;25.83;75;79
-78.928915;108.257660;5;1177180.91;111.01;24.05;68;79
64.425105;63.831010;2;1837220.86;78.54;15.88;29;80
-9.792708;116.788303;1;6195521.77;116.28;45.64;62;64
19.281657;42.428570;3;2074175.56;42.86;8.91;2;36
32.894124;148.092713;2;6135799.95;73.12;17.12;2;2
74.976498;27.810931;5;8536340.69;99.36;35.32;2;7
-46.121764;13.460317;4;1840315.40;69.69;19.11;33;54
-78.818658;62.546070;4;9979179.75;31.04;7.13;60;76
-13.211915;154.331404;3;8786581.47;46.62;17.13;20;30
4.430677;72.236853;2;3272288.22;118.52;37.33;30;41
-28.574631;37.441659;4;1261981.34;90.65;36.05;19;37
16.862550;85.900643;2;5982422.62;56.34;18.20;19;36
-18.681152;74.575146;2;6005965.97;71.28;19.47;22;63
-25.868913;152.377961;5;6473823.83;30.90;9.84;10;51
81.763932;18.052208;4;1852909.46;103.03;46.71;22;28
-64.934927;164.488146;2;7985196.81;51.25;16.95;1;6
-28.938402;121.165169;5;8929895.64;49.95;13.29;9;68
-46.357694;104.850612;4;4553487.39;38.10;17.78;45;46
